frame,ms
1,15.3916
2,1.10153
3,1.08045
4,1.07175
5,1.08077
6,1.10521
7,1.17997
8,1.08097
9,1.07061
10,1.07219
11,1.08244
12,1.07151
13,1.06751
14,1.06957
15,1.06866
16,1.08151
17,1.07938
18,1.07175
19,1.07443
20,1.08926
21,1.07376
22,1.0775
23,1.07044
24,1.07211
25,1.0777
26,1.07679
27,1.07063
28,1.06665
29,1.07532
30,1.07603
31,1.06726
32,1.08026
33,1.08084
34,1.07178
35,1.07644
36,1.08599
37,1.08727
38,1.07235
39,1.06447
40,1.06612
41,1.07078
42,1.06653
43,1.15964
44,1.15212
45,1.06588
46,1.07024
47,1.07954
48,1.05995
49,1.06016
50,1.06584
51,1.05893
52,1.14599
53,1.41662
54,1.13379
55,1.07065
56,1.08792
57,1.07616
58,1.07747
59,1.07334
60,1.06871
61,1.07659
62,1.06444
63,1.07455
64,1.08591
65,1.08128
66,1.06796
67,1.08067
68,1.07545
69,1.08085
70,1.08282
71,1.07932
72,1.0747
73,1.06732
74,1.06718
75,1.08701
76,1.07359
77,1.06693
78,1.14061
79,1.28637
80,1.07718
81,1.0951
82,1.08705
83,1.08009
84,1.07595
85,1.07447
86,1.08415
87,1.07561
88,1.08191
89,1.0803
90,1.07201
91,1.07391
92,1.07273
93,1.06899
94,1.08788
95,1.06972
96,1.08591
97,1.07753
98,1.07164
99,1.07406
100,1.07233
101,1.07763
102,1.07381
103,1.06684
104,1.079
105,1.06655
106,1.07659
107,1.06208
108,1.08177
109,1.07821
110,1.06934
111,1.07538
112,1.07557
113,1.07155
114,1.07223
115,1.07487
116,1.35789
117,1.14166
118,1.07787
119,1.06644
120,1.07611
121,1.07132
122,1.08067
123,1.0786
124,1.05822
125,1.06266
126,1.08253
127,1.06716
128,1.07267
129,1.09631
130,1.07675
131,1.07552
132,1.06531
133,1.07691
134,1.06962
135,1.07669
136,1.07707
137,1.06967
138,1.07938
139,1.06786
140,1.07387
141,1.06657
142,1.09232
143,1.08595
144,1.08365
145,1.07043
146,1.09975
147,1.09198
148,1.07019
149,1.07381
150,1.18864
151,1.13417
152,1.08029
153,1.06388
154,1.07137
155,1.07071
156,1.07059
157,1.07608
158,1.07496
159,1.08428
160,1.08076
161,1.08206
162,1.08092
163,1.11773
164,1.09902
165,1.09425
166,1.0725
167,1.06826
168,1.08023
169,1.07695
170,1.0709
171,1.09642
172,1.07787
173,1.07851
174,1.06941
175,1.07359
176,1.06643
177,1.0749
178,1.06959
179,1.07213
180,1.06462
181,1.06787
182,1.07332
183,1.07029
184,1.07153
185,1.06869
186,1.12885
187,1.1467
188,1.07631
189,1.07724
190,1.06871
191,1.07519
192,1.07945
193,1.07206
194,1.0737
195,1.06763
196,1.07177
197,1.07723
198,1.07485
199,1.0708
200,1.07184
201,1.07699
202,1.06506
203,1.07282
204,1.06573
205,1.07028
206,1.07169
207,1.06395
208,1.07754
209,1.07037
210,1.08909
211,1.08829
212,1.06976
213,1.08167
214,1.07605
215,1.08233
216,1.07005
217,1.06516
218,1.07556
219,1.07984
220,1.07525
221,1.14058
222,1.13905
223,1.08011
224,1.07176
225,1.07243
226,1.06724
227,1.06931
228,1.0719
229,1.07757
230,1.05721
231,1.06867
232,1.06821
233,1.06911
234,1.06537
235,1.08603
236,1.07484
237,1.0748
238,1.0539
239,1.07386
240,1.06855
241,1.07526
242,1.07452
243,1.07405
244,1.06436
245,1.06854
246,1.0788
247,1.06669
248,1.08122
249,1.07436
250,1.07381
251,1.08269
252,1.08271
253,1.08012
254,1.06367
255,1.07448
256,1.06964
257,1.07678
258,1.13516
259,1.18879
260,1.13197
261,1.07314
262,1.07951
263,1.08583
264,1.07814
265,1.06941
266,1.06249
267,1.07173
268,1.08371
269,1.07033
270,1.0738
271,1.07498
272,1.06882
273,1.07792
274,1.07582
275,1.11058
276,1.0653
277,1.06984
278,1.0799
279,1.06134
280,1.06816
281,1.06678
282,1.07921
283,1.06596
284,1.07305
285,1.07525
286,1.05897
287,1.06259
288,1.07453
289,1.0785
290,1.06825
291,1.08033
292,1.07699
293,1.07602
294,1.16667
295,1.07212
296,1.07363
297,1.07003
298,1.08698
299,1.07477
300,1.06551
301,1.09177
302,1.07376
303,1.07774
304,1.08495
305,1.07641
306,1.08447
307,1.07512
308,1.08072
309,1.07797
310,1.0719
311,1.06793
312,1.08132
313,1.06913
314,1.08025
315,1.0745
316,1.07914
317,1.08055
318,1.06246
319,1.07617
320,1.07876
321,1.06613
322,1.07262
323,1.0728
324,1.09144
325,1.07637
326,1.07068
327,1.07654
328,1.07898
329,1.07082
330,1.20851
331,1.19212
332,1.128
333,1.06791
334,1.06262
335,1.07182
336,1.08015
337,1.06395
338,1.0683
339,1.07009
340,1.07126
341,1.0753
342,1.07903
343,1.07235
344,1.06758
345,1.07094
346,1.07511
347,1.0699
348,1.07862
349,1.07178
350,1.07129
351,1.07104
352,1.08475
353,1.07539
354,1.07336
355,1.07911
356,1.07424
357,1.0785
358,1.07338
359,1.06695
360,1.07613
361,1.07881
362,1.06293
363,1.07526
364,1.06221
365,1.14516
366,1.1283
367,1.06664
368,1.07095
369,1.06545
370,1.07044
371,1.07906
372,1.08037
373,1.06533
374,1.06538
375,1.06266
376,1.0754
377,1.07326
378,1.06839
379,1.07041
380,1.06305
381,1.07013
382,1.08313
383,1.06545
384,1.07426
385,1.07189
386,1.06302
387,1.08184
388,1.06434
389,1.06941
390,1.07158
391,1.07925
392,1.08691
393,1.07542
394,1.07291
395,1.07582
396,1.07615
397,1.08745
398,1.07016
399,1.06842
400,1.08419
401,1.06784
402,1.15342
403,1.14865
404,1.13823
405,1.07303
406,1.06883
407,1.07545
408,1.0727
409,1.06453
410,1.07187
411,1.06688
412,1.07071
413,1.06754
414,1.07501
415,1.07496
416,1.07562
417,1.07208
418,1.06395
419,1.07283
420,1.0805
421,1.06745
422,1.07308
423,1.06257
424,1.0737
425,1.05952
426,1.07396
427,1.06387
428,1.07056
429,1.07297
430,1.06665
431,1.0682
432,1.07892
433,1.06135
434,1.06545
435,1.07494
436,1.06294
437,1.07947
438,1.07915
439,1.05793
440,1.19132
441,1.12265
442,1.06936
443,1.07995
444,1.07061
445,1.06359
446,1.07391
447,1.07445
448,1.07887
449,1.07475
450,1.07969
451,1.08186
452,1.07792
453,1.07645
454,1.10074
455,1.11601
456,1.08304
457,1.06649
458,1.07799
459,1.08482
460,1.07506
461,1.06834
462,1.07864
463,1.06863
464,1.07078
465,1.07668
466,1.07059
467,1.07656
468,1.07
469,1.07069
470,1.06762
471,1.0796
472,1.07522
473,1.06589
474,1.07166
475,1.11937
476,1.13177
477,1.19599
478,1.13697
479,1.07835
480,1.07282
481,1.06805
482,1.07332
483,1.06622
484,1.06387
485,1.08936
486,1.0953
487,1.06911
488,1.08393
489,1.08162
490,1.0726
491,1.08162
492,1.06799
493,1.08276
494,1.0712
495,1.07179
496,1.07178
497,1.07624
498,1.08375
499,1.08146
500,1.07006
501,1.08308
502,1.06431
503,1.0653
504,1.07976
505,1.07823
506,1.07418
507,1.08351
508,1.08088
509,1.07838
510,1.07569
511,1.18219
512,1.08886
513,1.06977
514,1.06331
515,1.08573
516,1.07006
517,1.06158
518,1.06721
519,1.06793
520,1.06996
521,1.08293
522,1.07549
523,1.06819
524,1.07282
525,1.05809
526,1.07079
527,1.08612
528,1.08393
529,1.06993
530,1.07238
531,1.0791
532,1.07203
533,1.07697
534,1.06881
535,1.07246
536,1.07638
537,1.07989
538,1.06976
539,1.07745
540,1.08898
541,1.07721
542,1.07588
543,1.07462
544,1.0764
545,1.06152
546,1.07675
547,1.08113
548,1.18762
549,1.07254
550,1.07573
551,1.07148
552,1.07515
553,1.07659
554,1.06729
555,1.07276
556,1.0664
557,1.0756
558,1.07965
559,1.07801
560,1.06965
561,1.07303
562,1.06496
563,1.07141
564,1.06533
565,1.08684
566,1.07611
567,1.06707
568,1.08153
569,1.06524
570,1.06064
571,1.05916
572,1.07692
573,1.06208
574,1.07219
575,1.07061
576,1.07594
577,1.07536
578,1.05997
579,1.07061
580,1.0676
581,1.07758
582,1.07534
583,1.16962
584,1.07229
585,1.06036
586,1.06888
587,1.06537
588,1.08829
589,1.06376
590,1.0685
591,1.06344
592,1.07324
593,1.06889
594,1.08394
595,1.08107
596,1.07898
597,1.08385
598,1.07993
599,1.07391
600,1.07233
601,1.08174
602,1.0712
603,1.07522
604,1.07235
605,1.06711
606,1.07817
607,1.08013
608,1.07426
609,1.07015
610,1.07794
611,1.11393
612,1.07816
613,1.08969
614,1.10238
615,1.07019
616,1.07591
617,1.06925
618,1.07311
619,1.07394
620,1.14519
621,1.13881
622,1.13991
623,1.07009
624,1.07476
625,1.07586
626,1.06706
627,1.07611
628,1.06466
629,1.06967
630,1.08261
631,1.06994
632,1.07696
633,1.06557
634,1.06871
635,1.07543
636,1.07288
637,1.09064
638,1.0687
639,1.06257
640,1.08101
641,1.08127
642,1.07814
643,1.07177
644,1.06662
645,1.07959
646,1.07785
647,1.07618
648,1.07078
649,1.07427
650,1.06751
651,1.07599
652,1.08604
653,1.07974
654,1.07302
655,1.08287
656,1.11195
657,1.18673
658,1.06253
659,1.08535
660,1.07359
661,1.06993
662,1.07195
663,1.06513
664,1.0868
665,1.07096
666,1.06277
667,1.08024
668,1.06956
669,1.07226
670,1.0745
671,1.07489
672,1.07927
673,1.06562
674,1.06831
675,1.07107
676,1.07644
677,1.07039
678,1.07216
679,1.06798
680,1.06953
681,1.07131
682,1.07344
683,1.07569
684,1.07003
685,1.07951
686,1.07633
687,1.06711
688,1.08325
689,1.07141
690,1.07013
691,1.08354
692,1.18102
693,1.07067
694,1.08062
695,1.08248
696,1.07605
697,1.08427
698,1.06623
699,1.08054
700,1.06854
701,1.07044
702,1.08055
703,1.07056
704,1.0822
705,1.08613
706,1.07175
707,1.08008
708,1.09647
709,1.06419
710,1.07158
711,1.06742
712,1.08741
713,1.08343
714,1.05731
715,1.06694
716,1.07424
717,1.06121
718,1.07034
719,1.07234
720,1.06031
721,1.06441
722,1.06409
723,1.08223
724,1.07133
725,1.07157
726,1.0786
727,1.07238
728,1.18951
729,1.07486
730,1.0696
731,1.07803
732,1.07242
733,1.07053
734,1.07244
735,1.07005
736,1.08052
737,1.06675
738,1.07833
739,1.0819
740,1.07669
741,1.0755
742,1.0685
743,1.07108
744,1.09208
745,1.0777
746,1.07781
747,1.08637
748,1.06026
749,1.07712
750,1.08266
751,1.07674
752,1.086
753,1.07645
754,1.07897
755,1.07212
756,1.07583
757,1.07458
758,1.07933
759,1.06709
760,1.0724
761,1.08284
762,1.07498
763,1.09071
764,1.06658
765,1.19061
766,1.05826
767,1.06262
768,1.06869
769,1.07284
770,1.07617
771,1.07151
772,1.0669
773,1.07224
774,1.08398
775,1.07157
776,1.06398
777,1.07092
778,1.07299
779,1.07365
780,1.07372
781,1.07814
782,1.07281
783,1.06906
784,1.07188
785,1.07621
786,1.05995
787,1.07787
788,1.08386
789,1.07217
790,1.06762
791,1.06881
792,1.074
793,1.0591
794,1.06581
795,1.08154
796,1.0672
797,1.07317
798,1.08666
799,1.08005
800,1.19265
801,1.07887
802,1.09185
803,1.11344
804,1.05449
805,1.07312
806,1.07092
807,1.07181
808,1.06718
809,1.07455
810,1.06682
811,1.08438
812,1.07133
813,1.07053
814,1.07003
815,1.06962
816,1.07568
817,1.0817
818,1.0775
819,1.06544
820,1.07286
821,1.06609
822,1.06862
823,1.06668
824,1.08176
825,1.0649
826,1.07344
827,1.07393
828,1.06529
829,1.08945
830,1.07725
831,1.0611
832,1.06486
833,1.07905
834,1.09107
835,1.08719
836,1.08163
837,1.19823
838,1.07468
839,1.072
840,1.08545
841,1.07933
842,1.09379
843,1.06655
844,1.07178
845,1.10722
846,1.10042
847,1.07785
848,1.08745
849,1.08269
850,1.06952
851,1.0754
852,1.08495
853,1.07268
854,1.07424
855,1.07369
856,1.07844
857,1.0714
858,1.07216
859,1.07561
860,1.0735
861,1.07927
862,1.06313
863,1.06473
864,1.06033
865,1.0668
866,1.07029
867,1.06231
868,1.07338
869,1.0767
870,1.07401
871,1.1336
872,1.14186
873,1.06555
874,1.08746
875,1.06952
876,1.07153
877,1.07126
878,1.07969
879,1.06368
880,1.07144
881,1.07034
882,1.07637
883,1.08868
884,1.11611
885,1.08616
886,1.07271
887,1.08784
888,1.08091
889,1.08563
890,1.06532
891,1.07705
892,1.07389
893,1.06941
894,1.08431
895,1.0805
896,1.08078
897,1.06285
898,1.07143
899,1.08107
900,1.06921
901,1.0666
902,1.07852
903,1.07156
904,1.08669
905,1.07558
906,1.07328
