frame,ms
1,41.1935
2,1.09187
3,1.07965
4,1.07298
5,1.07451
6,1.07621
7,1.08248
8,1.07369
9,1.08573
10,1.07962
11,1.06968
12,1.07134
13,1.08591
14,1.07737
15,1.07866
16,1.06356
17,1.12254
18,1.07593
19,1.06792
20,1.06803
21,1.07805
22,1.08776
23,1.13127
24,1.08092
25,1.07513
26,1.07334
27,1.15807
28,1.16435
29,1.09208
30,1.07731
31,1.08908
32,1.09599
33,1.07581
34,1.07641
35,1.08236
36,1.12259
37,1.08643
38,1.07486
39,1.06744
40,1.08272
41,1.07677
42,1.08086
43,1.06712
44,1.08249
45,1.07131
46,1.07754
47,1.07317
48,1.0926
49,1.07484
50,1.07359
51,1.07695
52,1.07769
53,1.07466
54,1.0787
55,1.07177
56,1.09199
57,1.07862
58,1.08217
59,1.0715
60,1.07151
61,1.0808
62,1.20999
63,1.13036
64,1.17775
65,1.15629
66,1.07737
67,1.09064
68,1.07647
69,1.06852
70,1.07745
71,1.08766
72,1.07817
73,1.0648
74,1.08695
75,1.07926
76,1.07652
77,1.07339
78,1.0866
79,1.0749
80,1.09065
81,1.07323
82,1.07671
83,1.07514
84,1.07662
85,1.07445
86,1.08041
87,1.07116
88,1.08469
89,1.07832
90,1.07639
91,1.13252
92,1.09535
93,1.08118
94,1.06567
95,1.0739
96,1.08254
97,1.08278
98,1.20336
99,1.07297
100,1.08105
101,1.16283
102,1.07367
103,1.08744
104,1.0746
105,1.05913
106,1.07901
107,1.0725
108,1.07209
109,1.07133
110,1.06895
111,1.07824
112,1.07989
113,1.07896
114,1.07971
115,1.07859
116,1.07338
117,1.06948
118,1.06341
119,1.07438
120,1.07954
121,1.06323
122,1.07293
123,1.07361
124,1.0699
125,1.0742
126,1.07806
127,1.08628
128,1.07696
129,1.06607
130,1.07338
131,1.07695
132,1.07806
133,1.07939
134,1.08518
135,1.20963
136,1.07315
137,1.07648
138,1.0776
139,1.07687
140,1.06478
141,1.07373
142,1.07794
143,1.08191
144,1.07858
145,1.05838
146,1.07441
147,1.07585
148,1.07827
149,1.07152
150,1.08429
151,1.08528
152,1.07599
153,1.06916
154,1.07533
155,1.08036
156,1.07408
157,1.06413
158,1.08934
159,1.07212
160,1.07407
161,1.07593
162,1.07142
163,1.08477
164,1.06247
165,1.08434
166,1.08631
167,1.07299
168,1.08023
169,1.06777
170,1.16216
171,1.07436
172,1.06766
173,1.2113
174,1.13303
175,1.07733
176,1.07005
177,1.07247
178,1.07324
179,1.08539
180,1.07522
181,1.06268
182,1.07502
183,1.07898
184,1.07957
185,1.06481
186,1.09496
187,1.1213
188,1.06715
189,1.07154
190,1.07201
191,1.07755
192,1.06672
193,1.0689
194,1.07785
195,1.0766
196,1.06634
197,1.06705
198,1.08262
199,1.0759
200,1.07177
201,1.06205
202,1.07059
203,1.07691
204,1.08028
205,1.07077
206,1.08049
207,1.16635
208,1.07381
209,1.07211
210,1.07961
211,1.08323
212,1.06644
213,1.07443
214,1.08129
215,1.0738
216,1.08162
217,1.0676
218,1.07157
219,1.0665
220,1.06563
221,1.08355
222,1.08452
223,1.08234
224,1.07787
225,1.0748
226,1.0788
227,1.08065
228,1.06443
229,1.06501
230,1.07991
231,1.08018
232,1.0811
233,1.07655
234,1.0832
235,1.07947
236,1.0637
237,1.08127
238,1.08066
239,1.0727
240,1.07168
241,1.0794
242,1.19446
243,1.07947
244,1.0838
245,1.18492
246,1.13445
247,1.07921
248,1.06479
249,1.07203
250,1.08238
251,1.07342
252,1.0727
253,1.07907
254,1.06953
255,1.07854
256,1.07551
257,1.07646
258,1.07765
259,1.07219
260,1.06517
261,1.08065
262,1.08639
263,1.07921
264,1.08114
265,1.06364
266,1.06935
267,1.07094
268,1.08345
269,1.07504
270,1.07193
271,1.0865
272,1.079
273,1.06445
274,1.07748
275,1.08455
276,1.08199
277,1.0679
278,1.06761
279,1.15236
280,1.1812
281,1.06534
282,1.08619
283,1.07345
284,1.08161
285,1.08088
286,1.08693
287,1.08154
288,1.0808
289,1.07623
290,1.07565
291,1.0677
292,1.06931
293,1.06997
294,1.06685
295,1.08333
296,1.0769
297,1.07919
298,1.0811
299,1.09013
300,1.06774
301,1.07367
302,1.0841
303,1.0867
304,1.08635
305,1.06776
306,1.07375
307,1.07541
308,1.06873
309,1.06775
310,1.06299
311,1.06587
312,1.0835
313,1.06481
314,1.18789
315,1.0764
316,1.08276
317,1.18435
318,1.13483
319,1.07794
320,1.07675
321,1.07003
322,1.08656
323,1.06962
324,1.08803
325,1.07248
326,1.10574
327,1.07629
328,1.0976
329,1.0733
330,1.06475
331,1.07167
332,1.07462
333,1.0722
334,1.07873
335,1.07884
336,1.07237
337,1.06876
338,1.07497
339,1.06695
340,1.07383
341,1.06801
342,1.08014
343,1.06985
344,1.08289
345,1.06626
346,1.07969
347,1.0776
348,1.08194
349,1.07466
350,1.07568
351,1.17446
352,1.0907
353,1.0805
354,1.07764
355,1.06209
356,1.07736
357,1.08225
358,1.08335
359,1.07507
360,1.07493
361,1.06763
362,1.07696
363,1.06758
364,1.08425
365,1.07572
366,1.07274
367,1.07599
368,1.07594
369,1.07626
370,1.07633
371,1.08328
372,1.08243
373,1.07062
374,1.07288
375,1.06296
376,1.07568
377,1.0682
378,1.07126
379,1.07665
380,1.07349
381,1.07698
382,1.0701
383,1.08007
384,1.08435
385,1.06553
386,1.19849
387,1.12347
388,1.07409
389,1.17228
390,1.15093
391,1.07151
392,1.08273
393,1.08677
394,1.08103
395,1.0777
396,1.08287
397,1.07771
398,1.07776
399,1.08115
400,1.08544
401,1.07362
402,1.09132
403,1.07618
404,1.07196
405,1.06798
406,1.07211
407,1.07677
408,1.06961
409,1.06091
410,1.09222
411,1.08471
412,1.0644
413,1.07542
414,1.08791
415,1.07017
416,1.06713
417,1.07596
418,1.06941
419,1.07888
420,1.07196
421,1.06278
422,1.08589
423,1.18363
424,1.0878
425,1.07044
426,1.08098
427,1.07238
428,1.08779
429,1.06937
430,1.07817
431,1.07051
432,1.06953
433,1.06545
434,1.07719
435,1.08716
436,1.05289
437,1.07776
438,1.06927
439,1.08119
440,1.07833
441,1.07822
442,1.07247
443,1.08037
444,1.07375
445,1.0764
446,1.06731
447,1.07888
448,1.077
449,1.06818
450,1.07917
451,1.08314
452,1.07445
453,1.07699
454,1.07199
455,1.07183
456,1.08068
457,1.13642
458,1.15936
459,1.07094
460,1.15697
461,1.18397
462,1.12885
463,1.07912
464,1.07335
465,1.07209
466,1.06503
467,1.07017
468,1.08723
469,1.08324
470,1.08097
471,1.0681
472,1.06964
473,1.06354
474,1.06961
475,1.08442
476,1.0803
477,1.07937
478,1.08459
479,1.06477
480,1.07858
481,1.06767
482,1.07876
483,1.07543
484,1.06579
485,1.07245
486,1.07678
487,1.08377
488,1.07308
489,1.07533
490,1.07779
491,1.08762
492,1.07204
493,1.07827
494,1.1427
495,1.15292
496,1.08727
497,1.26974
498,1.15416
499,1.07895
500,1.07385
501,1.0847
502,1.07389
503,1.06069
504,1.07909
505,1.07973
506,1.07609
507,1.08377
508,1.06781
509,1.07453
510,1.07401
511,1.066
512,1.0839
513,1.08734
514,1.05943
515,1.07052
516,1.07461
517,1.06859
518,1.0655
519,1.07128
520,1.07349
521,1.07971
522,1.07951
523,1.07814
524,1.06655
525,1.0875
526,1.08421
527,1.08367
528,1.08422
529,1.15044
530,1.15723
531,1.0693
532,1.14872
533,1.19043
534,1.12853
535,1.0734
536,1.07362
537,1.08113
538,1.08126
539,1.07333
540,1.06635
541,1.07973
542,1.06832
543,1.07923
544,1.08379
545,1.07921
546,1.06824
547,1.07906
548,1.07539
549,1.08383
550,1.07574
551,1.07312
552,1.07811
553,1.06907
554,1.08205
555,1.06803
556,1.06426
557,1.07613
558,1.07155
559,1.06673
560,1.08673
561,1.07477
562,1.06879
563,1.07929
564,1.07693
565,1.08672
566,1.12628
567,1.22053
568,1.14266
569,1.15401
570,1.19513
571,1.14764
572,1.07263
573,1.07379
574,1.06903
575,1.07722
576,1.07922
577,1.07319
578,1.08591
579,1.06628
580,1.0728
581,1.07969
582,1.07935
583,1.07063
584,1.08005
585,1.07193
586,1.07524
587,1.08324
588,1.06846
589,1.07506
590,1.07082
591,1.06885
592,1.08321
593,1.07457
594,1.07348
595,1.06653
596,1.08006
597,1.08284
598,1.06619
599,1.06899
600,1.09153
601,1.14358
602,1.15868
603,1.08169
604,1.13523
605,1.19845
606,1.13183
607,1.07895
608,1.06766
609,1.08064
610,1.07344
611,1.08035
612,1.07034
613,1.08957
614,1.07272
615,1.07578
616,1.07726
617,1.07802
618,1.07089
619,1.0824
620,1.07808
621,1.08335
622,1.07684
623,1.07589
624,1.0602
625,1.1022
