frame,ms
1,994.14
2,7.88
3,6.79
4,7.77
5,7.50
6,6.89
7,7.26
8,7.40
9,7.41
10,6.74
11,6.95
12,6.61
13,7.05
14,7.76
15,6.79
16,6.77
17,7.04
18,6.83
19,7.20
20,8.06
21,6.98
22,7.10
23,6.66
24,7.35
25,7.23
26,6.86
27,6.86
28,7.12
29,6.75
30,7.21
31,7.42
32,7.45
33,6.84
34,7.20
35,6.66
36,6.67
37,7.17
38,7.20
39,7.57
40,7.68
41,7.07
42,7.04
43,6.91
44,7.18
45,6.69
46,6.76
47,6.60
48,6.66
49,6.61
50,8.06
51,6.61
52,6.67
53,7.20
54,7.98
55,7.47
56,6.76
57,7.44
58,7.41
59,6.67
60,7.32
61,6.79
62,6.68
63,7.03
64,6.66
65,7.21
66,6.79
67,7.35
68,7.08
69,7.33
70,7.29
71,6.77
72,7.43
73,6.95
74,7.23
75,6.83
76,7.36
77,7.33
78,6.76
79,6.77
80,7.21
81,6.79
82,7.03
83,6.75
84,6.60
85,7.70
86,6.61
87,7.22
88,6.87
89,6.77
90,7.24
91,7.04
92,7.17
93,6.94
94,6.87
95,6.71
96,6.65
97,7.72
98,6.93
99,6.67
100,7.10
101,7.03
102,7.31
103,7.18
104,7.07
105,6.80
106,7.65
107,8.27
108,6.62
109,6.64
110,7.02
111,6.78
112,8.05
113,7.62
114,6.71
115,6.56
116,6.64
117,6.96
118,6.68
119,7.26
120,6.58
121,6.64
122,7.50
123,6.61
124,7.01
125,6.58
126,6.46
127,7.01
128,9.17
129,6.71
130,6.60
131,7.54
132,7.01
133,6.56
134,6.52
135,7.22
136,7.04
137,7.54
138,6.52
139,7.01
140,6.42
141,7.16
142,6.87
143,6.55
144,6.89
145,7.00
146,6.55
147,6.89
148,7.13
149,6.67
150,6.50
151,7.25
152,6.99
153,6.67
154,7.17
155,6.53
156,7.23
157,7.27
158,6.47
159,6.56
160,6.55
161,6.56
162,6.94
163,6.53
164,6.57
165,6.87
166,6.84
167,7.25
168,6.61
169,6.62
170,6.81
171,6.57
172,7.00
173,6.80
174,6.53
175,6.64
176,6.64
177,7.12
