frame,inference_ms
1,1109.97
2,5.99
3,5.08
4,4.56
5,4.40
6,4.33
7,4.87
8,4.66
9,4.83
10,4.66
11,4.29
12,4.61
13,4.56
14,4.62
15,4.26
16,4.23
17,4.16
18,4.34
19,4.35
20,4.24
21,4.24
22,4.21
23,4.39
24,4.28
25,4.38
26,4.27
27,4.37
28,4.32
29,4.25
30,4.62
31,4.73
32,4.12
33,4.38
34,4.25
35,4.39
36,4.47
37,4.57
38,4.56
39,4.47
40,4.94
41,4.54
42,4.68
43,4.27
44,4.56
45,4.85
46,5.13
47,4.88
48,4.21
49,4.33
50,4.40
51,4.84
52,4.23
53,4.44
54,4.42
55,4.26
56,4.15
57,4.61
58,4.31
59,4.19
60,4.20
61,4.55
62,4.53
63,4.14
64,4.25
65,4.43
66,4.69
67,4.23
68,4.27
69,4.61
70,4.20
71,4.23
72,4.18
73,4.31
74,4.16
75,4.29
76,4.27
77,4.23
78,4.32
79,4.54
80,4.28
81,4.47
82,4.53
83,5.38
84,4.24
85,4.63
86,4.28
87,4.33
88,4.50
89,4.24
90,4.35
91,4.30
92,4.61
93,4.43
94,4.91
95,4.70
96,4.47
97,4.60
98,5.32
99,4.22
100,4.50
101,4.33
102,4.22
103,4.38
104,4.61
105,4.16
106,4.34
107,4.24
108,4.44
109,4.27
110,4.19
111,4.33
112,4.31
113,4.20
114,4.52
115,5.07
116,4.19
117,4.19
118,4.49
119,4.23
120,4.16
121,4.74
122,4.81
123,4.16
124,4.50
125,4.10
126,4.37
127,4.31
128,4.80
129,4.14
130,4.71
131,4.82
132,4.22
133,4.28
134,4.70
135,4.13
136,4.73
137,4.12
138,4.14
139,4.14
140,4.01
141,4.29
142,4.31
143,4.15
144,4.21
145,4.37
146,4.93
147,4.12
148,4.18
149,4.13
150,4.04
151,4.09
152,4.41
153,4.11
154,4.01
155,4.22
156,4.07
157,4.29
158,4.40
159,4.52
160,4.20
161,4.42
162,4.42
163,4.14
164,4.17
165,4.07
166,4.03
167,4.70
168,4.11
169,4.20
170,4.20
171,4.06
172,4.18
173,4.56
174,4.24
175,4.18
176,4.17
177,4.17
178,4.18
179,4.41
180,4.72
181,5.33
182,4.24
183,4.34
184,4.63
185,5.03
186,4.14
187,4.34
188,4.57
189,4.99
190,4.24
191,4.48
192,4.90
193,4.39
194,4.57
195,5.04
196,4.79
197,4.35
198,4.27
199,4.81
200,4.71
201,4.53
202,4.19
203,4.72
204,4.69
205,4.24
206,4.31
207,4.66
208,4.91
209,4.22
210,4.57
211,4.77
212,5.20
213,4.09
214,4.55
215,4.14
216,4.09
217,4.47
218,4.66
219,4.20
220,4.22
221,4.00
222,4.30
223,4.08
224,4.11
225,4.34
226,4.19
227,4.17
228,4.18
229,4.21
230,4.04
231,4.24
232,4.21
233,4.11
234,4.12
235,4.27
236,4.15
237,4.13
238,4.19
239,4.58
240,4.10
241,4.08
242,4.35
243,4.72
244,4.62
245,4.10
246,4.41
247,4.60
248,4.17
249,4.30
250,4.55
251,4.66
252,4.16
253,4.30
254,4.47
255,4.11
256,4.11
257,4.34
258,4.19
259,4.13
260,4.13
261,4.20
262,4.38
263,4.36
264,4.64
265,4.43
266,4.52
267,4.71
268,4.25
269,4.21
270,4.28
271,4.28
272,4.16
273,4.11
274,4.15
275,4.17
276,4.16
277,4.14
278,4.86
279,4.27
280,4.21
281,4.51
282,4.23
283,4.26
284,4.61
285,4.42
286,4.44
287,4.30
288,4.24
289,5.26
290,4.58
291,4.60
292,4.47
293,4.42
294,4.17
295,4.12
296,4.13
297,4.11
298,4.11
299,4.10
300,4.13
301,4.15
302,4.11
303,4.11
304,4.10
305,4.12
306,4.14
307,4.21
308,4.14
309,4.15
310,4.14
311,4.12
312,4.17
313,4.25
314,4.17
315,4.20
316,4.30
317,4.21
318,4.19
319,4.18
320,4.14
321,4.46
322,4.40
323,4.44
324,4.16
325,4.13
326,4.05
327,4.09
328,4.08
329,4.22
330,4.17
331,4.18
332,4.21
333,4.59
334,4.45
335,4.18
336,4.33
337,4.79
338,4.00
339,4.15
340,4.31
341,4.29
342,4.35
343,4.20
344,4.11
345,4.16
346,3.98
347,4.22
348,4.25
349,4.26
350,4.15
351,4.41
352,4.33
353,4.74
354,4.36
355,4.13
356,4.20
357,4.26
358,4.25
359,4.37
360,4.39
361,4.27
362,4.08
363,4.06
364,4.05
365,4.29
366,4.21
367,4.52
368,4.61
369,4.63
370,4.09
371,3.99
372,4.07
373,4.20
374,4.23
375,4.21
376,4.30
377,4.48
378,4.55
379,4.16
380,4.13
381,4.13
382,4.16
383,4.27
384,4.44
385,4.20
386,4.56
387,4.24
388,4.23
389,4.60
390,4.58
391,4.29
392,4.26
393,4.20
394,4.11
395,4.12
396,4.02
397,4.15
398,4.34
399,4.37
400,4.21
401,4.09
402,4.06
403,4.33
404,4.11
405,4.17
406,4.71
407,4.62
408,4.50
409,4.67
410,4.14
411,4.00
412,4.08
413,4.19
414,4.57
415,4.03
416,4.40
417,4.12
418,4.19
419,4.19
420,4.18
421,4.15
422,4.44
423,4.11
424,4.34
425,4.70
426,4.71
427,4.20
428,4.16
429,4.43
430,4.25
431,4.21
432,4.27
433,4.10
434,4.50
435,4.19
436,4.30
437,4.16
